graph,algorithm,crossings,crossings_pct_vs_baseline,crossings_pct_vs_ebc,mean_edge_length,mean_edge_length_pct_vs_baseline,mean_edge_length_pct_vs_ebc,path_continuity,path_continuity_pct_vs_baseline,path_continuity_pct_vs_ebc,runtime_s
ugandan_village/health-advice_12,baseline,6397,0.0,6.5456362425049965,0.1294330907794662,0.0,9.288490215082552,70.80068631551727,0.0,0.5248439192393409,2.33
ugandan_village/health-advice_17,baseline,450,0.0,13.636363636363637,0.1580715740401816,0.0,5.012126726811654,59.764009147496424,0.0,-1.008378198924248,0.01
ugandan_village/health-advice_14,baseline,3056,0.0,34.38874230430959,0.132736859757944,0.0,51.8374832627595,70.11804336300773,0.0,-0.36012241620926577,1.07
ugandan_village/health-advice_11,baseline,5370,0.0,17.685733070348455,0.1116054637273605,0.0,33.86946062058347,64.6815001255977,0.0,-3.6051833095161316,1.67
urban_streets/brasilia,baseline,4,0.0,0.0,0.0423272933845691,0.0,-1.8974894303992103,46.85309858455961,0.0,0.033853743113040055,1.61
urban_streets/irvine2,baseline,9,0.0,800.0,0.03911412005483,0.0,-11.444302459402254,45.60653069754183,0.0,1.8436447799421478,1.82
ugandan_village/friendship-12,baseline,26355,0.0,1.1358839556391267,0.1326304118424102,0.0,61.8243869373875,72.87179961919678,0.0,-2.1318539284509863,1.75
urban_streets/los-angeles,baseline,9,0.0,50.0,0.0438674316219589,0.0,4.358321182296681,48.81557230479026,0.0,1.0961480445038856,3.04
ugandan_village/health-advice_10,baseline,24290,0.0,15.353564135441896,0.1177210095381504,0.0,33.097030533055076,70.94569735233223,0.0,0.24767734082113835,1.88
urban_streets/new-delhi,baseline,2,0.0,100.0,0.0365979539332034,0.0,-2.371553083629839,49.43609775782987,0.0,-0.43039762698097644,1.71
urban_streets/new-york,baseline,59,0.0,90.3225806451613,0.0504731159190437,0.0,4.244967848839183,44.358979486656786,0.0,-0.6946108677493049,5.46
urban_streets/walnut-creek,baseline,6,0.0,,0.0452600086774566,0.0,17.41622860319907,49.72087206726099,0.0,-1.9276923250053755,2.72
urban_streets/london,baseline,4,0.0,33.333333333333336,0.0293172248448563,0.0,-1.0285504878265772,48.6780097439744,0.0,0.16412926021138047,10.93
zebras,baseline,574,0.0,23.70689655172414,0.1555192140593705,0.0,44.00086360673074,28.976844941859135,0.0,-16.3362154151673,0.0
windsurfers,baseline,4501,0.0,9.088705768298594,0.2362531534408841,0.0,3.52283829300574,36.11188717645459,0.0,25.33324773648242,0.01
urban_streets/vienna,baseline,4,0.0,0.0,0.0356472791848292,0.0,-0.8611339672776398,48.647112682113665,0.0,-0.40694398074503857,9.83
urban_streets/savannah,baseline,2,0.0,0.0,0.0300081188751054,0.0,2.3126501448101924,45.93745207341543,0.0,-0.28465581000906603,3.34
urban_streets/bologna,baseline,17,0.0,54.54545454545455,0.0274178485302649,0.0,0.7962014673349197,48.42666909005481,0.0,-1.1357192449637872,1.93
ugandan_village/health-advice_16,baseline,20215,0.0,19.679119057486236,0.1120975034149893,0.0,19.71914076483876,66.55644524333549,0.0,-6.667905043761807,2.78
ceo_club,EBC,162,-7.428571428571429,0.0,0.1887649439196037,-15.432423130329987,0.0,75.98438610352424,0.27366671497754175,0.0,2.51
dolphins,EBC,225,-12.109375,0.0,0.104276987777281,14.792470733544354,0.0,45.33930144667156,9.099517085331327,0.0,2.56
