graph,tags,nodes,edges,algorithm,crossings,mean_edge_length,edge_length_var,path_continuity,runtime_s,status
ugandan_village/friendship-12,"[""Multilayer"", ""Offline"", ""Social"", ""Unweighted""]",229,872,baseline,26517,0.13229232563375895,0.0031542977149108887,72.98001559619628,0.22,ok
ugandan_village/friendship-12,"[""Multilayer"", ""Offline"", ""Social"", ""Unweighted""]",229,872,"edge_relaxation(kr=0.1,kw=0.05)",26026,0.07920711823681402,0.0016771405276769734,74.48125344476325,93.72,ok
ugandan_village/friendship-13,"[""Multilayer"", ""Offline"", ""Social"", ""Unweighted""]",183,809,baseline,26669,0.15238754764748227,0.004110659215082697,80.01693877146595,0.14,ok
ugandan_village/friendship-13,"[""Multilayer"", ""Offline"", ""Social"", ""Unweighted""]",183,809,"edge_relaxation(kr=0.1,kw=0.05)",25572,0.09093305855213821,0.002017796056550834,79.64290500566676,43.84,ok
ugandan_village/friendship-14,"[""Multilayer"", ""Offline"", ""Social"", ""Unweighted""]",124,525,baseline,9686,0.1565309292730875,0.004171796740000925,73.73784732684399,0.06,ok
ugandan_village/friendship-14,"[""Multilayer"", ""Offline"", ""Social"", ""Unweighted""]",124,525,"edge_relaxation(kr=0.1,kw=0.05)",8861,0.08183940942601131,0.002092433781069529,74.60270432951681,50.08,ok
ugandan_village/friendship-15,"[""Multilayer"", ""Offline"", ""Social"", ""Unweighted""]",120,274,baseline,1488,0.12833635832571474,0.0017874805987493586,66.2535172317135,0.05,ok
ugandan_village/friendship-15,"[""Multilayer"", ""Offline"", ""Social"", ""Unweighted""]",120,274,"edge_relaxation(kr=0.1,kw=0.05)",1410,0.10369737629180073,0.0022916598607335584,67.58916921025089,8.19,ok
ugandan_village/friendship-17,"[""Multilayer"", ""Offline"", ""Social"", ""Unweighted""]",65,257,baseline,2309,0.16350753915240784,0.004343198461549416,61.87012781452696,0.02,ok
ugandan_village/friendship-17,"[""Multilayer"", ""Offline"", ""Social"", ""Unweighted""]",65,257,"edge_relaxation(kr=0.1,kw=0.05)",2223,0.09554689705383534,0.0025915827632620996,62.42533341434024,4.76,ok
ugandan_village/health-advice_1,"[""Multilayer"", ""Offline"", ""Social"", ""Unweighted""]",187,431,baseline,4416,0.11829733895171944,0.001807832114880679,64.90769675201143,0.13,ok
ugandan_village/health-advice_1,"[""Multilayer"", ""Offline"", ""Social"", ""Unweighted""]",187,431,"edge_relaxation(kr=0.1,kw=0.05)",4076,0.11481965162251284,0.001656145737677089,65.67808815162294,14.21,ok
ugandan_village/health-advice_2,"[""Multilayer"", ""Offline"", ""Social"", ""Unweighted""]",170,394,baseline,3548,0.12340172575062304,0.0020881288616027604,62.806060062037126,0.12,ok
ugandan_village/health-advice_2,"[""Multilayer"", ""Offline"", ""Social"", ""Unweighted""]",170,394,"edge_relaxation(kr=0.1,kw=0.05)",3041,0.09317277598530765,0.0019266524900115284,62.82130813294781,16.89,ok
ugandan_village/health-advice_3,"[""Multilayer"", ""Offline"", ""Social"", ""Unweighted""]",185,638,baseline,17091,0.11957238754966813,0.0020421851182240523,67.38196625194121,0.12,ok
ugandan_village/health-advice_3,"[""Multilayer"", ""Offline"", ""Social"", ""Unweighted""]",185,638,"edge_relaxation(kr=0.1,kw=0.05)",14527,0.06630420004414397,0.001332576941250305,68.91289277210116,57.04,ok
ugandan_village/health-advice_5,"[""Multilayer"", ""Offline"", ""Social"", ""Unweighted""]",166,386,baseline,3269,0.11202138818126677,0.001647964158055082,61.5527033506029,0.17,ok
